"","x"
"157","Ulmaceae"
"158","Ulmaceae"
"159","Ulmaceae"
"160","Ulmaceae"
"161","Anacardiaceae"
"162","Anacardiaceae"
"163","Anacardiaceae"
"164","Anacardiaceae"
"165",""
"166","Platanaceae"
"167",""
"168",""
"169",""
"170",""
"171",""
"172",""
"173",""
"174",""
"175",""
"176",""
"177",""
"178",""
"179",""
"180",""
"181",""
"182",""
"183","Anacardiaceae"
"184",""
"185",""
"186",""
"187",""
"188",""
"189","Ulmaceae"
"190","Ulmaceae"
"191","Ulmaceae"
"192","Ulmaceae"
"193","Ulmaceae"
"194","Ulmaceae"
"195","Ulmaceae"
"196","Ulmaceae"
"197","Ulmaceae"
"198","Ulmaceae"
"199","Ulmaceae"
"200","Ulmaceae"
"201","Ulmaceae"
"202","Ulmaceae"
"203","Ulmaceae"
"204","Ulmaceae"
"205","Ulmaceae"
"206","Ulmaceae"
"207","Ulmaceae"
"208","Ulmaceae"
"209","Ulmaceae"
"210","Ulmaceae"
"211","Ulmaceae"
"212","Ulmaceae"
"213","Ulmaceae"
"214","Ulmaceae"
"215","Ulmaceae"
"216","Ulmaceae"
"217","Ulmaceae"
"218","Ulmaceae"
"219","Ulmaceae"
"220","Ulmaceae"
"221","Ulmaceae"
"222","Ulmaceae"
"223","Ulmaceae"
"224","Ulmaceae"
"225","Ulmaceae"
"226","Ulmaceae"
"227","Ulmaceae"
"228","Ulmaceae"
"229","Ulmaceae"
"230","Ulmaceae"
"231","Ulmaceae"
"232","Ulmaceae"
"233","Ulmaceae"
"234","Ulmaceae"
"235","Ulmaceae"
"236","Ulmaceae"
"237","Ulmaceae"
"238","Ulmaceae"
"239","Ulmaceae"
"240","Ulmaceae"
"241","Ulmaceae"
"242","Ulmaceae"
"243","Ulmaceae"
"244","Ulmaceae"
"245","Ulmaceae"
"246","Ulmaceae"
"247","Ulmaceae"
"248","Ulmaceae"
"249","Ulmaceae"
"250","Ulmaceae"
"251","Ulmaceae"
"252","Ulmaceae"
"253","Ulmaceae"
"254","Ulmaceae"
"255","Ulmaceae"
"256","Ulmaceae"
"257","Ulmaceae"
"258","Ulmaceae"
"259","Ulmaceae"
"260","Ulmaceae"
"261","Ulmaceae"
"262","Ulmaceae"
"263","Ulmaceae"
"264","Ulmaceae"
"265","Ulmaceae"
"266","Ulmaceae"
"267","Ulmaceae"
"268","Ulmaceae"
"269","Ulmaceae"
"270","Ulmaceae"
"271","Ulmaceae"
"272","Ulmaceae"
"273","Ulmaceae"
"274","Ulmaceae"
"275","Ulmaceae"
"276","Ulmaceae"
"277","Ulmaceae"
"278","Ulmaceae"
"279","Ulmaceae"
"280","Ulmaceae"
"281","Ulmaceae"
"282","Ulmaceae"
"283","Ulmaceae"
"284","Ulmaceae"
"285","Ulmaceae"
"286","Ulmaceae"
"287","Ulmaceae"
"288","Ulmaceae"
"289","Ulmaceae"
"290","Ulmaceae"
"291","Ulmaceae"
"292","Ulmaceae"
"293","Ulmaceae"
"294","Ulmaceae"
"295","Ulmaceae"
"296","Ulmaceae"
"297","Ulmaceae"
"298","Ulmaceae"
"299","Ulmaceae"
"300","Ulmaceae"
"301","Ulmaceae"
"302","Ulmaceae"
"303","Ulmaceae"
"304","Ulmaceae"
"305","Ulmaceae"
"306","Ulmaceae"
"307","Ulmaceae"
"308","Ulmaceae"
"309","Ulmaceae"
"310","Ulmaceae"
"311","Ulmaceae"
"312","Ulmaceae"
"313","Ulmaceae"
"314","Ulmaceae"
"315","Ulmaceae"
"316","Ulmaceae"
"317","Ulmaceae"
"318","Ulmaceae"
"319","Ulmaceae"
"320","Ulmaceae"
"321","Ulmaceae"
"322","Ulmaceae"
"323","Ulmaceae"
"324","Ulmaceae"
"325","Ulmaceae"
"326","Ulmaceae"
"327","Ulmaceae"
"328","Ulmaceae"
"329","Ulmaceae"
"330","Ulmaceae"
"331","Ulmaceae"
"332","Ulmaceae"
"333","Ulmaceae"
"334","Ulmaceae"
"335","Ulmaceae"
"336","Ulmaceae"
"337","Ulmaceae"
"338","Ulmaceae"
"339","Ulmaceae"
"340","Ulmaceae"
"341","Ulmaceae"
"342","Ulmaceae"
"343","Ulmaceae"
"344","Ulmaceae"
"345","Ulmaceae"
"346","Ulmaceae"
"347","Ulmaceae"
"348","Ulmaceae"
"349","Ulmaceae"
"350","Ulmaceae"
"351","Ulmaceae"
"352","Ulmaceae"
"353","Ulmaceae"
"354","Ulmaceae"
"355","Ulmaceae"
"356","Ulmaceae"
"357","Ulmaceae"
"358","Ulmaceae"
"359","Ulmaceae"
"360","Ulmaceae"
"361","Ulmaceae"
"362","Ulmaceae"
"363","Ulmaceae"
"364","Ulmaceae"
"365","Ulmaceae"
"366","Ulmaceae"
"367","Ulmaceae"
"368","Ulmaceae"
"369","Ulmaceae"
"370","Ulmaceae"
"371","Ulmaceae"
"372","Ulmaceae"
"373",""
"374",""
"375",""
"376",""
"377",""
"378",""
"379",""
"380",""
"381",""
"382",""
"383",""
"384",""
"385",""
"386",""
"387",""
"388",""
"389",""
"390",""
"391",""
"392",""
"393",""
"394",""
"395","Hydrangeaceae"
"396","Hydrangeaceae"
"397","Hydrangeaceae"
"398","Hydrangeaceae"
"399","Hydrangeaceae"
"400","Hydrangeaceae"
"401","Hydrangeaceae"
"402","Hydrangeaceae"
"403","Hydrangeaceae"
"404","Hydrangeaceae"
"405","Hydrangeaceae"
"406","Hydrangeaceae"
"407",""
"408",""
"409",""
"410",""
"411",""
"412",""
"413",""
"414",""
"415","Anacardiaceae"
"416","Anacardiaceae"
"417","Anacardiaceae"
"418","Anacardiaceae"
"419","Anacardiaceae"
"420","Anacardiaceae"
"421","Anacardiaceae"
"422","Anacardiaceae"
"423","Anacardiaceae"
"424","Anacardiaceae"
"425","Anacardiaceae"
"426","Anacardiaceae"
"427","Anacardiaceae"
"428","Anacardiaceae"
"429","Anacardiaceae"
"430","Anacardiaceae"
"431","Anacardiaceae"
"432","Anacardiaceae"
"433","Anacardiaceae"
"434","Anacardiaceae"
"435","Grossulariaceae"
"436","Grossulariaceae"
"437",""
"438",""
"439",""
"440",""
"441",""
"442",""
"443",""
"444",""
"445",""
"446",""
"447",""
"448",""
"449",""
"450",""
"451",""
"452",""
"453",""
"454",""
"455",""
"456",""
"457",""
"458",""
"459",""
"460",""
"461",""
"462",""
"463","Ulmaceae"
"464","Ulmaceae"
"465","Ulmaceae"
"466","Ulmaceae"
"467","Ulmaceae"
"468","Ulmaceae"
"469","Ulmaceae"
"470","Ulmaceae"
"471","Ulmaceae"
"472","Ulmaceae"
"473",""
"474",""
"475","Anacardiaceae"
"476",""
"477",""
"478",""
"479",""
"480",""
"481",""
"482",""
"483",""
"484",""
"485",""
"486",""
"487",""
"488",""
"489",""
"490","Menispermaceae"
"491","Menispermaceae"
"492","Menispermaceae"
"493","Menispermaceae"
"494","Menispermaceae"
"495",""
"496",""
"497",""
"498",""
"499",""
"500",""
"501",""
"502",""
"503",""
"504",""
"505",""
"506",""
"507",""
"508",""
"509",""
"510",""
"511",""
"512",""
"513",""
"514",""
"515",""
"516",""
"517",""
"518",""
"519","Magnoliaceae"
"520","Magnoliaceae"
"521","Magnoliaceae"
"522","Magnoliaceae"
"523","Sabiaceae"
"524","Sabiaceae"
"525","Sabiaceae"
"526","Sabiaceae"
"527","Sabiaceae"
"528","Sabiaceae"
"529","Sabiaceae"
"530","Sabiaceae"
"531","Sabiaceae"
"532","Sabiaceae"
"533","Sabiaceae"
"534","Sabiaceae"
"535","Sabiaceae"
"536","Sabiaceae"
"537","Sabiaceae"
"538","Sabiaceae"
"539","Sabiaceae"
"540","Sabiaceae"
"541","Sabiaceae"
"542","Sabiaceae"
"543","Sabiaceae"
"544","Sabiaceae"
"545",""
"546",""
"547",""
"548",""
"549",""
"550",""
"551",""
"552",""
"553",""
"554",""
"555",""
"556",""
"557",""
"558",""
"559",""
"560",""
"561",""
"562",""
"563","Hamamelidaceae"
"564","Hamamelidaceae"
"565","Hamamelidaceae"
"566","Hamamelidaceae"
"567","Hamamelidaceae"
"568","Hamamelidaceae"
"569",""
"570","Platanaceae"
"571",""
"572",""
"573",""
"574",""
"575",""
"576",""
"577",""
"578",""
"579",""
"580",""
"581",""
"582",""
"583",""
"584",""
"585",""
"586",""
"587",""
"588",""
"589","Theaceae"
"590",""
"591",""
"592",""
"593",""
"594",""
"595",""
"596",""
"597","Sabiaceae"
"598",""
"599",""
"600",""
"601",""
"602",""
"603",""
"604",""
"605",""
"606",""
"607",""
"608",""
"609",""
"610",""
"611",""
"612",""
"613",""
"614","Ulmaceae"
"615","Ulmaceae"
"616","Ulmaceae"
"617","Ulmaceae"
"618","Ulmaceae"
"619","Ulmaceae"
"620","Ulmaceae"
"621","Ulmaceae"
"622","Anacardiaceae"
"623","Platanaceae"
"624","Platanaceae"
"625","Platanaceae"
"626","Platanaceae"
"627","Platanaceae"
"628","Platanaceae"
"629",""
"630","Anacardiaceae"
"631","Anacardiaceae"
"632","Ulmaceae"
"633",""
"634",""
"635",""
"636",""
"637",""
"638",""
"639",""
"640",""
"641",""
"642",""
"643",""
"644",""
"645",""
"646",""
"647",""
"648",""
"649",""
"650",""
"651",""
"652",""
"653",""
"654",""
"655",""
"656",""
"657",""
"658",""
"659",""
"660",""
"661",""
"662",""
"663",""
"664",""
"665",""
"666",""
"667",""
"668",""
"669",""
"670",""
"671",""
"672",""
"673",""
"674",""
"675",""
"676",""
"677",""
"678",""
"679",""
"680",""
"681",""
"682",""
"683",""
"684",""
"685",""
"686","Ulmaceae"
"687","Ulmaceae"
"688","Ulmaceae"
"689","Ulmaceae"
"690","Ulmaceae"
"691","Ulmaceae"
"692","Ulmaceae"
"693","Ulmaceae"
"694","Ulmaceae"
"695","Ulmaceae"
"696","Ulmaceae"
"697","Ulmaceae"
"698","Ulmaceae"
"699","Ulmaceae"
"700","Ulmaceae"
"701",""
"702","Anacardiaceae"
"703","Anacardiaceae"
"704",""
"705",""
"706",""
"707",""
"708",""
"709","Staphylaceae"
"710",""
"711",""
"712",""
"713",""
"714",""
"715",""
"716",""
"717",""
"718",""
"719",""
"720",""
"721",""
"722",""
"723",""
"724",""
"725",""
"726",""
"727",""
"728",""
"729",""
"730",""
"731",""
"732",""
"733",""
"734",""
"735",""
"736",""
"737",""
"738",""
"739",""
"740",""
"741",""
"742",""
"743",""
"744",""
"745",""
"746","Ulmaceae"
"747","Ulmaceae"
"748","Ulmaceae"
"749","Ulmaceae"
"750","Ulmaceae"
"751","Cercidiphyllaceae"
"752","Cercidiphyllaceae"
"753",""
"754","Platanaceae"
"755",""
"756",""
"757",""
"758",""
"759","Cercidiphyllaceae"
"760","Ulmaceae"
"761",""
"762",""
"763",""
"764",""
"765",""
"766",""
"767",""
"768",""
"769",""
"770",""
"771",""
"772",""
"773",""
"774",""
"775",""
"776",""
"777",""
"778",""
"779",""
"780",""
"781",""
"782",""
"783",""
"784",""
"785",""
"786",""
"787",""
"788",""
"789",""
"790",""
"791",""
"792",""
"793",""
"794",""
"795",""
"796",""
"797",""
"798",""
"799",""
"800",""
"801",""
"802",""
"803",""
"804",""
"805",""
"806",""
"807",""
"808",""
"809",""
"810",""
"811",""
"812",""
"813",""
"814",""
"815",""
"816",""
"817",""
"818",""
"819",""
"820",""
"821",""
"822",""
"823",""
"824",""
"825",""
"826",""
"827",""
"828",""
"829",""
"830",""
"831",""
"832",""
"833",""
"834",""
"835",""
"836",""
"837",""
"838",""
"839",""
"840",""
"841",""
"842",""
"843",""
"844",""
"845",""
"846",""
"847",""
"848",""
"849",""
"850",""
"851",""
"852",""
"853",""
"854",""
"855",""
"856",""
"857",""
"858",""
"859",""
"860",""
"861",""
"862",""
"863",""
"864",""
"865",""
"866",""
"867",""
"868",""
"869",""
"870",""
"871",""
"872",""
"873",""
"874",""
"875",""
"876",""
"877",""
"878",""
"879",""
"880",""
"881",""
"882",""
"883",""
"884",""
"885",""
"886",""
"887",""
"888",""
"889",""
"890",""
"891",""
"892",""
"893",""
"894",""
"895",""
"896",""
"897",""
"898",""
"899",""
"900",""
"901",""
"902",""
"903",""
"904",""
"905",""
"906",""
"907",""
"908",""
"909",""
"910",""
"911",""
"912",""
"913",""
"914",""
"915",""
"916",""
"917",""
"918",""
"919",""
"920",""
"921",""
"922",""
"923",""
"924",""
"925",""
"926",""
"927",""
"928",""
"929",""
"930",""
"931",""
"932",""
"933",""
"934",""
"935",""
"936",""
"937",""
"938",""
"939",""
"940",""
"941",""
"942",""
"943",""
"944",""
"945",""
"946",""
"947",""
"948",""
"949",""
"950",""
"951",""
"952",""
"953",""
"954",""
"955",""
"956",""
"957",""
"958",""
"959",""
"960",""
"961",""
"962",""
"963",""
"964",""
"965",""
"966",""
"967",""
"968",""
"969",""
"970",""
"971",""
"972",""
"973",""
"974",""
"975",""
"976",""
"977",""
"978",""
"979",""
"980",""
"981",""
"982",""
"983",""
"984",""
"985",""
"986",""
"987",""
"988",""
"989",""
"990",""
"991",""
"992",""
"993",""
"994",""
"995",""
"996","Cercidiphyllaceae"
"997","Cercidiphyllaceae"
"998","Cercidiphyllaceae"
"999","Cercidiphyllaceae"
"1000","Cercidiphyllaceae"
"1001","Cercidiphyllaceae"
"1002","Cercidiphyllaceae"
"1003","Cercidiphyllaceae"
"1004","Cercidiphyllaceae"
"1005","Cercidiphyllaceae"
"1006","Cercidiphyllaceae"
"1007","Cercidiphyllaceae"
"1008","Cercidiphyllaceae"
"1009","Cercidiphyllaceae"
"1010","Cercidiphyllaceae"
"1011","Cercidiphyllaceae"
"1012","Cercidiphyllaceae"
"1013","Saxifragaceae"
"1014","Saxifragaceae"
"1015","Saxifragaceae"
"1016","Platanaceae"
"1017","Platanaceae"
"1018","Anacardiaceae"
"1019","Anacardiaceae"
"1020","Anacardiaceae"
"1021","Anacardiaceae"
"1022","Anacardiaceae"
"1023","Anacardiaceae"
"1024","Anacardiaceae"
"1025","Theaceae"
"1026","Theaceae"
"1027","Ulmaceae"
"1028","Ulmaceae"
"1029","Ulmaceae"
"1030","Ulmaceae"
"1031","Ulmaceae"
"1032","Ulmaceae"
"1033","Ulmaceae"
"1034","Ulmaceae"
"1035","Ulmaceae"
"1036","Ulmaceae"
"1037","Trochodendraceae"
"1038","Trochodendraceae"
"1039","Ulmaceae"
"1040","Ulmaceae"
"1041","Ulmaceae"
"1042","Ulmaceae"
"1043","Ulmaceae"
"1044","Ulmaceae"
"1045","Ulmaceae"
"1046","Ulmaceae"
"1047","Ulmaceae"
"1048","Ulmaceae"
"1049","Ulmaceae"
"1050","Ulmaceae"
"1051","Ulmaceae"
"1052","Ulmaceae"
"1053","Ulmaceae"
"1054","Ulmaceae"
"1055","Ulmaceae"
"1056","Ulmaceae"
"1057","Platanaceae"
"1058","Platanaceae"
"1059","Platanaceae"
"1060","Platanaceae"
"1061","Platanaceae"
"1062","Platanaceae"
"1063","Platanaceae"
"1064","Anacardiaceae"
"1065","Anacardiaceae"
"1066","Anacardiaceae"
"1067","Anacardiaceae"
"1068","Anacardiaceae"
"1069","Anacardiaceae"
"1070","Anacardiaceae"
"1071","Anacardiaceae"
"1072","Anacardiaceae"
"1073","Anacardiaceae"
"1074","Anacardiaceae"
"1075","Anacardiaceae"
"1076","Anacardiaceae"
"1077","Styracaceae"
"1078","Styracaceae"
"1079","Styracaceae"
"1080","Styracaceae"
"1081",""
"1082",""
"1083",""
"1084",""
"1085",""
"1086",""
"1087","Hamamelidaceae"
"1088","Hamamelidaceae"
"1089","Hamamelidaceae"
"1090","Hamamelidaceae"
"1091","Hamamelidaceae"
"1092","Hamamelidaceae"
"1093","Hamamelidaceae"
"1094","Hamamelidaceae"
"1095","Hamamelidaceae"
"1096","Hamamelidaceae"
"1097","Hamamelidaceae"
"1098","Hamamelidaceae"
"1099","Combretaceae"
"1100","Combretaceae"
"1101","Combretaceae"
"1102","Combretaceae"
"1103",""
"1104","Platanaceae"
"1105","Platanaceae"
"1106","Platanaceae"
"1107","Platanaceae"
"1108",""
"1109",""
"1110",""
"1111","Anacardiaceae"
"1112","Anacardiaceae"
"1113",""
"1114",""
"1115",""
"1116",""
"1117",""
"1118",""
"1119",""
"1120",""
"1121",""
"1122",""
"1123",""
"1124",""
"1125",""
"1126",""
"1127",""
"1128",""
"1129",""
"1130",""
"1131",""
"1132",""
"1133",""
"1134",""
"1135",""
"1136",""
"1137",""
"1138",""
"1139",""
"1140",""
"1141",""
"1142",""
"1143",""
"1144",""
"1145",""
"1146",""
"1147",""
"1148",""
"1149",""
"1150",""
"1151",""
"1152",""
"1153",""
"1154",""
"1155",""
"1156",""
"1157",""
"1158",""
"1159",""
"1160",""
"1161",""
"1162",""
"1163",""
"1164",""
"1165",""
"1166",""
"1167",""
"1168",""
"1169",""
"1170",""
"1171",""
"1172",""
"1173",""
"1174",""
"1175",""
"1176",""
"1177",""
"1178",""
"1179",""
"1180",""
"1181",""
"1182",""
"1183",""
"1184",""
"1185",""
"1186",""
"1187",""
"1188",""
"1189",""
"1190","Cercidiphyllaceae"
"1191","Hamamelidaceae"
"1192","Hamamelidaceae"
"1193","Hamamelidaceae"
"1194",""
"1195","Platanaceae"
"1196","Platanaceae"
"1197","Platanaceae"
"1198","Anacardiaceae"
"1199","Anacardiaceae"
"1200","Anacardiaceae"
"1201","Anacardiaceae"
"1202","Anacardiaceae"
"1203","Anacardiaceae"
"1204","Anacardiaceae"
"1205","Anacardiaceae"
"1206","Anacardiaceae"
"1207","Anacardiaceae"
"1208","Anacardiaceae"
"1209","Anacardiaceae"
"1210","Anacardiaceae"
"1211","Anacardiaceae"
"1212",""
"1213",""
"1214",""
"1215",""
"1216",""
"1217",""
"1218",""
"1219",""
"1220",""
"1221",""
"1222",""
"1223",""
"1224",""
"1225",""
"1226",""
"1227",""
"1228",""
"1229","Hydrangeaceae"
"1230","Grossulariaceae"
"1231","Grossulariaceae"
"1232","Grossulariaceae"
"1233","Grossulariaceae"
"1234","Grossulariaceae"
"1235","Grossulariaceae"
"1236","Grossulariaceae"
"1237","Grossulariaceae"
"1238","Grossulariaceae"
"1239","Grossulariaceae"
"1240","Grossulariaceae"
"1241","Grossulariaceae"
"1242","Grossulariaceae"
"1243","Grossulariaceae"
"1244","Grossulariaceae"
"1245","Grossulariaceae"
"1246",""
"1247",""
"1248","Styracaceae"
"1249","Grossulariaceae"
"1250","Grossulariaceae"
"1251","Aspleniaceae"
"1252",""
"1253","Magnoliaceae"
"1254","Menispermaceae"
"1255","Sabiaceae"
"1256",""
"1257",""
